title,content warnings,date finished,date watched,favourite?,feels,genre,notes,progress,rating,"rating ",runtime,status,summary,tags,total,trailer,type,watched
everybody loves raymond,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,a sportswriter deals with his overbearing family and domestic life in a suburban setting,"comedy, family, sitcom",210,,tv show/series,
gilmore girls,,,,No,"dramatic, funny, romantic","comedy, drama",,0%,,,45 min,watchlist,"a single mother and her daughter navigate love, life, and family in the small town of stars hollow","drama, family, romance",153,,tv show/series,
superstore,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,"employees at a big-box store deal with work challenges, quirky customers, and office dynamics","comedy, sitcom, workplace drama",113,,tv show/series,
desperate housewives,,,,No,"dramatic, tense","drama, mystery",,0%,,,45 min,watchlist,"a group of suburban women navigate secrets, scandals, and complex relationships in their neighborhood","drama, soap opera",180,,tv show/series,
gossip girl,,,,No,"dramatic, romantic","drama, romance",,0%,,,42 min,watchlist,"privileged teens in new york city deal with love, betrayal, and gossip exposed online","drama, romcom, teen drama",121,,tv show/series,
shameless,,,,No,"dark, dramatic, funny","comedy, drama",,0%,,,45 min,watchlist,"a dysfunctional family struggles with poverty, addiction, and survival in chicago","dark comedy, drama, family",134,,tv show/series,
dawson’s creek,,,,No,"dramatic, romantic","drama, romance",,0%,,,45 min,watchlist,"teenagers in a small town navigate friendship, love, and growing pains","drama, romcom, teen drama",128,,tv show/series,
the summer i turned pretty,,,,No,"dramatic, romantic","drama, romance",,0%,,,50 min,watchlist,,"coming of age, drama",10,,tv show/series,
outer banks,,,,No,"dramatic, tense","action and adventure, drama",,0%,,,50 min,watchlist,teens in a coastal town search for a legendary treasure while facing rivalries and danger,"adventure, crime, teen drama",46,,tv show/series,
malcolm in the middle,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,a gifted boy and his eccentric family navigate the challenges of daily life with humor and chaos,"comedy, family, sitcom",151,,tv show/series,
stranger things,,,,No,"dramatic, scary, tense","drama, horror, sci-fi",,0%,,,50 min,watchlist,kids in a small town uncover supernatural mysteries while searching for their missing friend in the 1980s,"adventure, drama, supernatural horror",34,,tv show/series,
the vampire diaries,,,,No,"dramatic, romantic, tense","drama, fantasy, romance",,0%,,,45 min,watchlist,"teens in a small town encounter vampires, love triangles, and supernatural threats","drama, supernatural horror",171,,tv show/series,
lucifer,,,,No,"dramatic, funny, tense","crime, drama, fantasy",,0%,,,45 min,watchlist,the devil abandons hell to run a nightclub in los angeles and assists the police in solving crimes,"crime, drama, supernatural horror",93,,tv show/series,
top boy,,,,No,"dramatic, tense","crime, drama",,0%,,,55 min,watchlist,drug dealers and residents navigate power struggles and survival in a london housing estate,"crime, drama, teen drama",28,,tv show/series,
supacell,,,,No,"dramatic, tense","action and adventure, drama",,0%,,,50 min,watchlist,a group of young londoners build a music empire while facing rivalries and criminal challenges,"action, adventure, crime",10,,tv show/series,
the 100,,,,No,"dramatic, serious, tense","action and adventure, drama, sci-fi",,0%,,,45 min,watchlist,100 juvenile delinquents are sent to post-apocalyptic earth to determine if it is habitable,"adventure, dystopian, survival",100,,tv show/series,
lost,,,,No,"dramatic, serious, tense","action and adventure, drama, mystery",,0%,,,45 min,watchlist,survivors of a plane crash struggle to survive on a mysterious island with hidden dangers,"drama, mystery, survival",121,,tv show/series,
scrubs,,,,No,"chill, dramatic, funny","comedy, drama",,0%,,,22 min,watchlist,"young doctors navigate hospital life with humor, romance, and personal growth","comedy, medical drama, workplace drama",182,,tv show/series,
prison break,,,,No,"dramatic, serious, tense","action and adventure, crime, drama",,0%,,,45 min,watchlist,a man deliberately gets imprisoned to help his brother escape death row,"adventure, crime, thriller",90,,tv show/series,
dexter,,,,No,"dark, dramatic, tense","crime, drama, thriller",,0%,,,50 min,watchlist,a forensic blood spatter analyst leads a secret life as a vigilante serial killer,"crime, drama, psychological thriller",96,,tv show/series,
better call saul,,,,No,"dramatic, serious, tense","crime, drama",,0%,,,45 min,watchlist,the story of a small-time lawyer’s transformation into the morally flexible saul goodman,"crime, drama, legal drama",63,,tv show/series,
breaking bad,,,,No,"dark, dramatic, tense","crime, drama, thriller",,0%,,,47 min,watchlist,a chemistry teacher turns to cooking methamphetamine after a terminal cancer diagnosis,"crime, drama, thriller",62,,tv show/series,
orange is the new black,,,,No,"dramatic, funny","comedy, drama",,0%,,,55 min,watchlist,"women in a minimum-security prison navigate relationships, crime, and personal transformation","comedy, drama",91,,tv show/series,
law & order,,,,No,"dramatic, serious, tense","crime, drama",,0%,,,45 min,watchlist,a dual-format show following both the investigation and prosecution of crimes in new york city,"crime, legal drama, police procedural",456,,tv show/series,
peaky blinders,,,,No,"dark, dramatic, tense","crime, drama, historical",,0%,,,60 min,watchlist,a gangster family rises to power in post-wwi birmingham under the cunning thomas shelby,"crime, drama",36,,tv show/series,
heartstopper,,,,No,"dramatic, happy, romantic","drama, romance",,0%,,,25 min,watchlist,two teenage boys form a close friendship that blossoms into romance at an english school,"coming of age, drama",16,,tv show/series,
sex and the city,,,,No,"chill, funny, romantic","comedy, drama, romance",,0%,,,30 min,watchlist,"four women navigate friendship, love, and life in new york city","drama, romcom",94,,tv show/series,
squid game,,,,No,"dark, dramatic, tense","action and adventure, drama, thriller",,0%,,,50 min,watchlist,people compete in deadly children's games for a huge cash prize in a dystopian setting,"adventure, dystopian, thriller",9,,tv show/series,
how i met your mother,,,,No,"chill, funny, romantic","comedy, romance",,0%,,,22 min,watchlist,a father recounts to his children the story of how he met their mother through adventures with his friends,"comedy, romcom, sitcom",208,,tv show/series,
the good place,,,,No,"chill, dramatic, funny","comedy, drama, fantasy",,0%,,,22 min,watchlist,a woman navigates the afterlife and learns what it truly means to be good,"comedy, drama, fantasy",53,,tv show/series,
this is us,,,,No,"dramatic, romantic, sad","drama, romance",,0%,,,45 min,watchlist,"a family experiences love, loss, and life events across multiple generations","drama, family",106,,tv show/series,
how to get away with murder,,,,No,"dark, dramatic, tense","drama, thriller",,0%,,,50 min,watchlist,a brilliant law professor and her students become involved in criminal cases and murders,"crime, legal drama, thriller",90,,tv show/series,
13 reasons why,,,,No,"dark, sad, tense","drama, mystery",,0%,,,45 min,watchlist,"a teenager leaves behind tapes revealing the reasons behind her suicide, affecting classmates deeply","drama, psychological thriller, teen drama",49,,tv show/series,
90210,,,,No,"dramatic, romantic, tense","drama, romance",,0%,,,45 min,watchlist,"teenagers navigate relationships, friendship, and family in beverly hills","drama, romcom, teen drama",114,,tv show/series,
riverdale,,,,No,"dramatic, romantic, tense","drama, mystery",,0%,,,45 min,watchlist,"teens in a small town face murder, secrets, and complicated relationships","drama, mystery, teen drama",113,,tv show/series,
euphoria,,,,No,"dark, dramatic, tense",drama,,0%,,,50 min,watchlist,"high school students navigate love, addiction, identity, and trauma in a modern setting","coming of age, drama, teen drama",16,,tv show/series,
snowfall,,,,No,"dark, dramatic, tense","crime, drama",,0%,,,55 min,watchlist,the rise of the crack cocaine epidemic in los angeles and its impact on various lives,"crime, drama",62,,tv show/series,
luther,,,,No,"dark, dramatic, tense","crime, drama, thriller",,0%,,,50 min,watchlist,a brilliant detective battles serial killers while confronting his own personal demons,"crime, drama, psychological thriller",21,,tv show/series,
the walking dead,,,,No,"dark, dramatic, tense","action and adventure, drama, horror",,0%,,,44 min,watchlist,a sheriff wakes from a coma to find a zombie apocalypse and leads survivors in search of safety,"drama, survival, thriller",177,,tv show/series,
the blacklist,,,,No,"dramatic, tense","crime, drama, thriller",,0%,,,45 min,watchlist,an infamous criminal turns himself in and helps the fbi catch dangerous fugitives,"crime, investigation, thriller",218,,tv show/series,
true detective,,,,No,"dark, serious, tense","crime, drama, mystery",,0%,,,60 min,watchlist,each season follows detectives solving disturbing crimes that uncover deeper mysteries,"crime, detective, psychological thriller",32,,tv show/series,
anne with an e,,,,No,"dramatic, happy, sad","drama, historical",,0%,,,47 min,watchlist,a spirited orphan girl transforms the lives of those around her in a small 19th-century town,"coming of age, drama, family drama",27,,tv show/series,
true blood,,,,No,"dark, dramatic, romantic","drama, fantasy, romance",,0%,,,55 min,watchlist,a telepathic waitress becomes involved in the supernatural world after vampires reveal their existence,"drama, supernatural horror",80,,tv show/series,
the sopranos,,,,No,"dark, dramatic, serious","crime, drama",,0%,,,55 min,watchlist,a mob boss balances criminal operations with personal and family struggles,"crime, drama, psychological thriller",86,,tv show/series,
the crown,,,,No,"dramatic, serious","drama, historical",,0%,,,58 min,watchlist,a dramatized look at queen elizabeth ii’s reign and the events shaping the royal family,"biography, drama, historical",60,,tv show/series,
little women,,,,No,"dramatic, serious","drama, historical",,0%,,,60 min,watchlist,"the march sisters grow up while facing love, loss, and family challenges during the civil war era","drama, family drama, historical",3,,tv show/series,
little house on the prairie,,,,No,"dramatic, happy, serious","drama, historical",,0%,,,45 min,watchlist,a pioneer family builds a life together on the american frontier,"drama, family drama, historical",204,,tv show/series,
game of thrones,,,,No,"dark, dramatic, tense","drama, fantasy",,0%,,,55 min,watchlist,noble families fight for power while an ancient threat rises in the north,"drama, fantasy, war",73,,tv show/series,
house of the dragon,,,,No,"dark, dramatic, tense","drama, fantasy",,0%,,,55 min,watchlist,the targaryen dynasty faces betrayal and conflict leading to a brutal civil war,"drama, fantasy, war",20,,tv show/series,
the wire,,,,No,"dramatic, serious, tense","crime, drama",,0%,,,55 min,watchlist,law enforcement and criminals clash in a realistic portrayal of baltimore’s institutions,"crime, drama, police procedural",60,,tv show/series,
mad men,,,,No,"dramatic, serious",drama,,0%,,,47 min,watchlist,"a 1960s advertising agency navigates ambition, identity, and changing social norms","drama, workplace drama",92,,tv show/series,
the west wing,,,,No,"dramatic, serious",drama,,0%,,,42 min,watchlist,the staff of the white house manages political crises and personal pressures,"drama, political drama",155,,tv show/series,
succession,,,,No,"dark, dramatic, serious",drama,,0%,,,60 min,watchlist,a wealthy family battles for control of a global media empire,"drama, family drama, workplace drama",39,,tv show/series,
fargo,,,,No,"dark, serious, tense","crime, drama",,0%,,,55 min,watchlist,each season presents a new crime story with dark humor and midwestern strangeness,"crime, drama, mystery",41,,tv show/series,
black mirror,,,,No,"dark, serious, tense","sci-fi, thriller",,0%,,,60 min,watchlist,anthology exploring the dark consequences of advanced technology,"psychological thriller, science, technology",27,,tv show/series,
westworld,,,,No,"dark, serious, tense","drama, sci-fi",,0%,,,55 min,watchlist,a futuristic theme park run by lifelike robots unravels as they gain consciousness,"drama, science, technology",36,,tv show/series,
the last of us,,,,No,"dramatic, serious, tense","action and adventure, drama, horror",,0%,,,55 min,watchlist,a smuggler escorts a girl immune to a deadly fungus across a ruined united states,"adventure, drama, survival",9,,tv show/series,
the boys,,,,No,"dark, funny, tense","action and adventure, drama",,0%,,,55 min,watchlist,a vigilante group exposes the corruption of powerful and reckless superheroes,"crime, dark comedy, superhero",24,,tv show/series,
narcos,,,,No,"dramatic, serious, tense","crime, drama",,0%,,,50 min,watchlist,the rise of drug cartels in colombia and the agents trying to stop them,"biography, crime, investigation",30,,tv show/series,
mindhunter,,,,No,"dark, serious, tense","crime, drama",,0%,,,50 min,watchlist,fbi agents interview serial killers to understand their psychology and solve cases,"crime, investigation, psychological thriller",19,,tv show/series,
criminal minds,,,,No,"dramatic, serious, tense","crime, drama",,0%,,,45 min,watchlist,profilers analyze dangerous criminals to prevent future attacks,"crime, investigation, psychological thriller",334,,tv show/series,
blacklist,,,,No,"dramatic, tense","crime, drama, thriller",,0%,,,45 min,watchlist,a master criminal partners with the fbi to track down elusive targets,"crime, investigation, thriller",218,,tv show/series,
csi,,,,No,"dramatic, serious","crime, drama, mystery",,0%,,,43 min,watchlist,forensic investigators solve crimes using science and evidence,"crime, investigation, police procedural",335,,tv show/series,
ncis,,,,No,"dramatic, serious","crime, drama",,0%,,,45 min,watchlist,agents investigate military-related crimes within the naval criminal investigative service,"crime, investigation, police procedural",468,,tv show/series,
full house,,,,No,"chill, funny, happy",comedy,,0%,,,22 min,watchlist,a widowed father raises his three daughters with the help of his brother-in-law and best friend,"comedy, family, sitcom",192,,tv show/series,
homeland,,,,No,"dramatic, serious, tense","drama, thriller",,0%,,,55 min,watchlist,a cia officer suspects a rescued marine may have been turned by terrorists,"political drama, spy, thriller",96,,tv show/series,
billions,,,,No,"dramatic, serious",drama,,0%,,,55 min,watchlist,a u.s. attorney and a hedge fund titan engage in a high-stakes battle of power and influence,"drama, political drama, workplace drama",84,,tv show/series,
bridgerton,,,,No,"dramatic, romantic","drama, historical, romance",,0%,,,57 min,watchlist,members of the bridgerton family navigate love and society in regency-era london,"drama, historical romance",16,,tv show/series,
downton abbey,,,,No,"dramatic, serious","drama, historical",,0%,,,47 min,watchlist,a noble family and their servants experience social change in early 20th-century england,"drama, family drama, historical",52,,tv show/series,
the queen’s gambit,,,,No,"dramatic, serious",drama,,0%,,,55 min,watchlist,a chess prodigy rises to fame while battling addiction and loneliness,"coming of age, drama",7,,tv show/series,
vikings,,,,No,"dramatic, serious, tense","action and adventure, drama, historical",,0%,,,44 min,watchlist,norse warriors embark on raids and political struggles across europe,"adventure, historical, war",89,,tv show/series,
the witcher,,,,No,"dark, dramatic, tense","drama, fantasy",,0%,,,60 min,watchlist,"a monster hunter navigates war, destiny, and magic across a turbulent continent","adventure, fantasy, mythic",24,,tv show/series,
sherlock,,,,No,"dramatic, serious, tense","crime, drama, mystery",,0%,,,90 min,watchlist,a modern sherlock holmes solves complex crimes with his companion watson,"crime, detective, investigation",13,,tv show/series,
doctor who,,,,No,"dramatic, funny, serious",sci-fi,,0%,,,45 min,watchlist,an alien time traveler explores the universe and protects civilizations across time,"adventure, science, time travel",150,,tv show/series,
the good doctor,,,,No,"dramatic, serious",drama,,0%,,,43 min,watchlist,a young autistic surgeon works to prove himself in a prestigious hospital,"drama, medical drama",140,,tv show/series,
er,,,,No,"dramatic, serious",drama,,0%,,,45 min,watchlist,emergency room doctors face life-or-death situations and personal challenges,"drama, medical drama",331,,tv show/series,
chicago med,,,,No,"dramatic, serious",drama,,0%,,,43 min,watchlist,medical staff in chicago treat patients while balancing personal struggles,"drama, medical drama",172,,tv show/series,
chicago fire,,,,No,"dramatic, tense",drama,,0%,,,42 min,watchlist,firefighters and paramedics handle emergencies and complicated relationships,"drama, workplace drama",239,,tv show/series,
scandal,,,,No,"dramatic, tense","drama, thriller",,0%,,,44 min,watchlist,an elite fixer manages crises for washington’s most powerful figures,"drama, political drama, thriller",124,,tv show/series,
the good wife,,,,No,"dramatic, serious",drama,,0%,,,45 min,watchlist,a woman returns to her legal career after her husband’s public scandal,"drama, legal drama",156,,tv show/series,
the good fight,,,,No,"dramatic, serious",drama,,0%,,,55 min,watchlist,lawyers confront political turmoil and high-stakes cases,"drama, legal drama, political drama",60,,tv show/series,
once upon a time,,,,No,"dramatic, romantic","drama, fantasy",,0%,,,44 min,watchlist,fairy-tale characters live in a cursed town with hidden identities,"drama, fairy tale, fantasy",156,,tv show/series,
teen wolf,,,,No,"dramatic, tense","drama, fantasy",,0%,,,43 min,watchlist,an ordinary teen becomes a werewolf and faces supernatural threats,"drama, supernatural horror, teen drama",100,,tv show/series,
pretty little liars,,,,No,"dark, dramatic, tense","drama, mystery",,0%,,,44 min,watchlist,four girls are tormented by a mysterious figure who knows their secrets,"mystery, psychological thriller, teen drama",160,,tv show/series,
the originals,,,,No,"dark, dramatic, tense","drama, fantasy",,0%,,,45 min,watchlist,the first vampire family returns to new orleans to reclaim power,"drama, supernatural horror",92,,tv show/series,
legacies,,,,No,"dramatic, tense","drama, fantasy",,0%,,,45 min,watchlist,students at a supernatural school learn to control their powers while facing threats,"fantasy, supernatural horror, teen drama",68,,tv show/series,
skins,,,,No,"dark, dramatic, serious",drama,,0%,,,45 min,watchlist,"british teens navigate relationships, rebellion, and personal struggles","drama, teen drama",61,,tv show/series,
wednesday,,,,No,"dark, dramatic, funny","comedy, fantasy",,0%,,,45 min,watchlist,wednesday addams attends a strange academy and uncovers supernatural mysteries,"comedy, mystery, supernatural horror",8,,tv show/series,
smallville,,,,No,"dramatic, serious","action and adventure, drama, fantasy",,0%,,,43 min,watchlist,young clark kent discovers his powers and grows toward becoming superman,"coming of age, drama, superhero",217,,tv show/series,
arrow,,,,No,"dramatic, tense","action and adventure, drama",,0%,,,42 min,watchlist,"after returning from a deadly island, a vigilante fights crime with a bow and arrow","crime, superhero, thriller",170,,tv show/series,
the flash,,,,No,"dramatic, funny","action and adventure, drama, sci-fi",,0%,,,44 min,watchlist,barry allen gains super-speed and becomes a hero protecting central city,"adventure, science, superhero",184,,tv show/series,
gotham,,,,No,"dark, dramatic, serious","crime, drama",,0%,,,45 min,watchlist,the early stories of jim gordon and the rise of iconic gotham villains,"crime, detective, superhero",100,,tv show/series,
daredevil,,,,No,"dark, dramatic, tense","action and adventure, crime, drama",,0%,,,50 min,watchlist,a blind lawyer becomes a masked vigilante fighting corruption in hell’s kitchen,"crime, martial arts, superhero",39,,tv show/series,
jessica jones,,,,No,"dark, dramatic, serious","crime, drama",,0%,,,50 min,watchlist,a private investigator with super strength confronts her traumatic past,"crime, psychological thriller, superhero",39,,tv show/series,
the punisher,,,,No,"dark, dramatic, tense","action and adventure, crime, drama",,0%,,,50 min,watchlist,a vigilante seeks vengeance against the criminals responsible for his family’s death,"crime, thriller, war",26,,tv show/series,
wandavision,,,,No,"dramatic, serious","drama, fantasy",,0%,,,35 min,watchlist,wanda and vision live through shifting sitcom realities hiding deeper truths,"fantasy, mystery, superhero",9,,tv show/series,
loki,,,,No,"dramatic, funny","drama, fantasy, sci-fi",,0%,,,50 min,watchlist,the god of mischief becomes involved in time-altering events that reshape reality,"fantasy, science, time travel",12,,tv show/series,
the mandalorian,,,,No,"dramatic, tense","action and adventure, drama, fantasy",,0%,,,40 min,watchlist,an isolated bounty hunter protects a mysterious child while traveling the galaxy,"adventure, alien, fantasy",24,,tv show/series,
andor,,,,No,"serious, tense","action and adventure, drama",,0%,,,45 min,watchlist,a rebel’s journey unfolds as he becomes part of the uprising against the empire,"adventure, political drama, thriller",12,,tv show/series,
obi-wan kenobi,,,,No,"dramatic, serious","action and adventure, drama, fantasy",,0%,,,50 min,watchlist,obi-wan watches over young luke while confronting ghosts from his past,"adventure, fantasy, war",6,,tv show/series,
star trek,,,,No,"educational, serious","action and adventure, sci-fi",,0%,,,50 min,watchlist,a starfleet crew explores space and encounters alien civilizations,"adventure, exploration, science",79,,tv show/series,
firefly,,,,No,"dramatic, funny","action and adventure, sci-fi",,0%,,,44 min,watchlist,a ragtag crew of a spaceship takes odd jobs while staying ahead of authorities,"adventure, crime, science",14,,tv show/series,
yellowstone,,,,No,"dramatic, serious",drama,,0%,,,45 min,watchlist,a ranching family defends their land against political and business pressures,"drama, family drama, western",53,,tv show/series,
1883,,,,No,"dramatic, serious","drama, historical",,0%,,,50 min,watchlist,the dutton ancestors journey westward through hardship and frontier dangers,"drama, historical, western",10,,tv show/series,
1923,,,,No,"dramatic, serious","drama, historical",,0%,,,50 min,watchlist,"the dutton family faces drought, lawlessness, and economic turmoil in the early 20th century","drama, historical, western",8,,tv show/series,
you,,,,No,"dark, dramatic, tense","drama, thriller",,0%,,,45 min,watchlist,a charming bookstore worker becomes dangerously obsessed with the women he loves,"crime, psychological thriller",40,,tv show/series,
big little lies,,,,No,"dramatic, serious",drama,,0%,,,55 min,watchlist,a group of mothers in a wealthy community become entangled in secrets and a deadly incident,"drama, family drama, mystery",14,,tv show/series,
american horror story,,,,No,"dark, dramatic, scary","drama, horror",,0%,,,50 min,watchlist,anthology series exploring different terrifying settings and characters each season,"drama, mystery, supernatural horror",127,,tv show/series,
american crime story,,,,No,"dramatic, serious","crime, drama",,0%,,,50 min,watchlist,each season dramatizes a major real-world criminal case,"biography, crime, investigation",29,,tv show/series,
money heist,,,,No,"dramatic, tense","crime, drama, thriller",,0%,,,50 min,watchlist,criminals execute elaborate heists under the guidance of the professor,"crime, heist, thriller",41,,tv show/series,
elite,,,,No,"dramatic, tense","drama, mystery",,0%,,,50 min,watchlist,"students at an elite school face class conflict, romance, and murder","mystery, teen drama",40,,tv show/series,
sex education,,,,No,"dramatic, funny","comedy, drama",,0%,,,50 min,watchlist,teens navigate relationships and self-discovery with the help of an awkward sex-therapy clinic,"comedy, coming of age, teen drama",32,,tv show/series,
never have i ever,,,,No,"dramatic, funny, romantic","comedy, drama",,0%,,,30 min,watchlist,"a teen girl deals with high school chaos, grief, and romance while trying to reinvent herself","comedy, coming of age, teen drama",40,,tv show/series,
one tree hill,,,,No,"dramatic, romantic","drama, romance",,0%,,,42 min,watchlist,"a group of teens in a small town navigate love, rivalry, and family struggles","drama, teen drama",187,,tv show/series,
silicon valley,,,,No,"chill, funny",comedy,,0%,,,28 min,watchlist,tech developers try to build a startup while facing industry chaos,"comedy, technology, workplace drama",53,,tv show/series,
jane the virgin,,,,No,"dramatic, funny, romantic","comedy, drama, romance",,0%,,,42 min,watchlist,a young woman’s life changes after a medical accident leads to an unexpected pregnancy,"drama, romcom",100,,tv show/series,
merlin,,,,No,"dramatic, serious","drama, fantasy",,0%,,,45 min,watchlist,a young merlin secretly protects prince arthur as magic is outlawed in camelot,"adventure, fantasy, mythic",65,,tv show/series,
24,,,,No,"dramatic, tense","drama, thriller",,0%,,,44 min,watchlist,agent jack bauer races against the clock to stop national threats,"crime, spy, thriller",204,,tv show/series,
bones,,,,No,"dramatic, serious","crime, drama",,0%,,,43 min,watchlist,a forensic anthropologist and an fbi agent solve crimes using skeletal evidence,"crime, investigation, police procedural",246,,tv show/series,
burn notice,,,,No,"dramatic, tense","action and adventure, drama",,0%,,,42 min,watchlist,a former spy helps people in trouble while uncovering who burned him,"adventure, crime, spy",111,,tv show/series,
girls,,,,No,"dramatic, funny","comedy, drama",,0%,,,28 min,watchlist,"young women navigate adulthood, relationships, and ambition in new york city","comedy, coming of age, drama",62,,tv show/series,
hannibal,,,,No,"dark, tense","crime, drama, thriller",,0%,,,43 min,watchlist,an fbi profiler forms a dangerous bond with a brilliant psychiatrist who is secretly a serial killer,"crime, drama, psychological thriller",39,,tv show/series,
parks and recreation,,,,No,"chill, funny, happy",comedy,,0%,,,22 min,watchlist,a cheerful public official works to improve her town with enthusiasm and chaos,"comedy, sitcom, workplace drama",126,,tv show/series,
schitts creek,,,,No,"chill, funny, happy",comedy,,0%,,,22 min,watchlist,a wealthy family loses everything and rebuilds their lives in a small town,"comedy, family, sitcom",80,,tv show/series,
physc,,,,No,"chill, funny","comedy, crime",,0%,,,42 min,watchlist,a man pretends to be psychic to help police solve crimes,"comedy, crime, detective",120,,tv show/series,
monk,,,,No,"funny, serious","comedy, crime, drama",,0%,,,42 min,watchlist,an obsessive-compulsive detective solves complex cases,"comedy, crime, detective",125,,tv show/series,
elementary,,,,No,"dramatic, serious","crime, drama, mystery",,0%,,,43 min,watchlist,a modern sherlock holmes works with joan watson to crack cases in new york,"crime, detective, investigation",154,,tv show/series,
angel,,,,No,"dark, dramatic","drama, fantasy",,0%,,,43 min,watchlist,a vampire with a soul seeks redemption by helping others in los angeles,"drama, fantasy, supernatural horror",110,,tv show/series,
atlanta,,,,No,"funny, serious","comedy, drama",,0%,,,30 min,watchlist,a man manages his cousin’s rap career while navigating surreal experiences in atlanta,"comedy, cultural, drama",41,,tv show/series,
alias,,,,No,"dramatic, tense","action and adventure, drama",,0%,,,45 min,watchlist,a double agent balances dangerous missions and personal secrets,"action, spy, thriller",105,,tv show/series,
community,,,,No,"chill, funny",comedy,,0%,,,22 min,watchlist,a diverse study group forms unexpected bonds at a community college,"comedy, sitcom",110,,tv show/series,
jane eyre,,,,No,"romantic, serious","drama, historical, romance",,0%,,,60 min,watchlist,a governess falls in love with her mysterious employer while uncovering dark secrets,"drama, historical romance",4,,tv show/series,
house of cards,,,,No,"dark, serious","drama, thriller",,0%,,,50 min,watchlist,a ruthless politician manipulates his way up the ranks of washington,"drama, political drama, thriller",73,,tv show/series,
jack ryan,,,,No,"serious, tense","action and adventure, drama",,0%,,,50 min,watchlist,a cia analyst uncovers dangerous global conspiracies,"crime, spy, thriller",30,,tv show/series,
jack reacher,,,,No,"serious, tense","action and adventure, crime, drama",,0%,,,50 min,watchlist,a former military investigator uncovers corruption while drifting from town to town,"adventure, crime, thriller",16,,tv show/series,
luke cage,,,,No,"dramatic, serious","action and adventure, crime, drama",,0%,,,55 min,watchlist,a man with unbreakable skin becomes a reluctant hero in harlem,"crime, drama, superhero",26,,tv show/series,
mayans mc,,,,No,"dark, serious","crime, drama",,0%,,,55 min,watchlist,"a biker club member navigates loyalty, violence, and personal conflict","crime, drama",50,,tv show/series,
new girl,,,,No,"chill, funny, happy",comedy,,0%,,,22 min,watchlist,"a quirky woman moves in with three men, forming unexpected friendships and romances","comedy, romcom, sitcom",146,,tv show/series,
ozark,,,,No,"dark, tense","crime, drama, thriller",,0%,,,60 min,watchlist,"a financial advisor is forced to launder money for a cartel, dragging his family into danger","crime, drama, thriller",44,,tv show/series,
person of interest,,,,No,"serious, tense","crime, drama",,0%,,,43 min,watchlist,a former cia operative prevents crimes using an ai that predicts violence,"crime, drama",103,,tv show/series,
scream queens,,,,No,"dark, funny","comedy, horror",,0%,,,45 min,watchlist,a sorority faces a series of murders with campy chaos,drama,23,,tv show/series,
shadow and bone,,,,No,"dramatic, serious","drama, fantasy",,0%,,,50 min,watchlist,a young soldier discovers a rare power that could unite her war-torn world,"adventure, drama, fantasy",16,,tv show/series,
supernatural,,,,No,"dark, dramatic","drama, fantasy, horror",,0%,,,44 min,watchlist,two brothers hunt monsters while uncovering cosmic threats,"adventure, drama, supernatural horror",327,,tv show/series,
